# roomNumber|roomType|status|lateCheckout
101|Deluxe|READY_FOR_CHECK_IN|false
102|Standard|DIRTY|true
103|Standard|READY_FOR_CHECK_IN|false
104|Suite|DIRTY|false
105|Deluxe|CLEANING_IN_PROGRESS|false
106|Standard|READY_FOR_CHECK_IN|true
201|Deluxe|CLEANING_IN_PROGRESS|false
202|Suite|READY_FOR_CHECK_IN|false
203|Standard|DIRTY|false
204|Deluxe|READY_FOR_CHECK_IN|true
205|Suite|CLEANING_IN_PROGRESS|false
206|Standard|READY_FOR_CHECK_IN|false
301|Standard|DIRTY|false
302|Deluxe|CLEANING_IN_PROGRESS|false
303|Suite|READY_FOR_CHECK_IN|false
304|Deluxe|DIRTY|true
305|Standard|READY_FOR_CHECK_IN|false
306|Suite|CLEANING_IN_PROGRESS|false
401|Deluxe|READY_FOR_CHECK_IN|false
402|Standard|DIRTY|false
403|Suite|READY_FOR_CHECK_IN|true
404|Deluxe|CLEANING_IN_PROGRESS|false
405|Standard|READY_FOR_CHECK_IN|false
406|Suite|DIRTY|false
501|Presidential|READY_FOR_CHECK_IN|false
502|Presidential|DIRTY|true
503|Suite|CLEANING_IN_PROGRESS|false
504|Deluxe|READY_FOR_CHECK_IN|false
505|Standard|CLEANING_IN_PROGRESS|false
506|Suite|READY_FOR_CHECK_IN|true
