# roomNumber|previousStatus|newStatus|updateDateTime|reason
302|DIRTY|CLEANING_IN_PROGRESS|03/08/2026 16:54:18|Task assigned
101|DIRTY|CLEANING_IN_PROGRESS|03/08/2026 17:09:35|ok
101|CLEANING_IN_PROGRESS|INSPECTED|03/08/2026 17:09:52|da
101|INSPECTED|READY_FOR_CHECK_IN|03/08/2026 17:10:09|done
102|CLEANING_IN_PROGRESS|DIRTY|03/08/2026 17:54:28|Late check-out
201|INSPECTED|CLEANING_IN_PROGRESS|03/08/2026 17:54:43|Failed inspection
505|DIRTY|CLEANING_IN_PROGRESS|03/08/2026 18:04:53|ok
502|DIRTY|CLEANING_IN_PROGRESS|03/08/2026 18:06:20|ok
502|CLEANING_IN_PROGRESS|INSPECTED|03/08/2026 18:07:05|fe
502|INSPECTED|CLEANING_IN_PROGRESS|03/08/2026 18:08:14|Failed inspection
502|CLEANING_IN_PROGRESS|DIRTY|03/08/2026 18:08:41|Late check-out
